City,Activity,Activity Address,Best Time to Visit,Estimated Budget (INR)
Nagpur,Historical Tour,"147, Riverfront Area, Nagpur",November to February,7161
Kolkata,Shopping,"110, Riverfront Area, Kolkata",October to February,2523
Patna,Adventure Sports,"110, Beachside Promenade, Patna",October to February,12520
Kochi,Trekking,"24, Market Road, Kochi",December to March,7094
Madurai,Beach Visit,"107, Temple Road, Madurai",December to March,3716
Puri,Historical Tour,"40, Lake Side, Puri",October to February,6448
Agra,Shopping,"90, Cultural District, Agra",October to March,3093
Darjeeling,Food Tasting,"20, Old Town, Darjeeling",November to March,3695
Delhi,Sightseeing,"133, Cultural District, Delhi",September to February,6056
Udaipur,Wildlife Safari,"55, Beachside Promenade, Udaipur",November to February,5824
Lakshadweep,Temple Visit,"57, Old Town, Lakshadweep",November to April,2399
Jaipur,River Rafting,"118, Cultural District, Jaipur",October to March,10138
Kochi,River Rafting,"70, Hill View Road, Kochi",November to February,10469
Imphal,Cultural Tour,"128, Central Plaza, Imphal",November to March,4860
Delhi,River Rafting,"149, Riverfront Area, Delhi",September to February,7712
Vijayawada,Museum Visit,"97, Market Road, Vijayawada",December to March,2078
Puri,Temple Visit,"3, Riverfront Area, Puri",November to March,3304
Vijayawada,Beach Visit,"32, Lake Side, Vijayawada",November to February,5530
Kolkata,River Rafting,"68, Market Road, Kolkata",November to March,9475
Varanasi,River Rafting,"139, Market Road, Varanasi",September to February,7925
Patna,Cultural Tour,"68, Heritage Lane, Patna",November to March,5211
Agartala,Beach Visit,"89, Main Street, Agartala",November to March,5895
Surat,Shopping,"22, Garden Street, Surat",November to February,2924
Manali,Wildlife Safari,"132, Market Road, Manali",September to February,7849
Delhi,Trekking,"80, Temple Road, Delhi",October to March,7139
Thiruvananthapuram,Historical Tour,"45, Cultural District, Thiruvananthapuram",December to March,7309
Thiruvananthapuram,Museum Visit,"55, Riverfront Area, Thiruvananthapuram",December to March,1885
Darjeeling,Cultural Tour,"131, Beachside Promenade, Darjeeling",October to February,5392
Amritsar,Historical Tour,"57, Old Town, Amritsar",October to March,6755
Kochi,River Rafting,"20, Garden Street, Kochi",November to February,11301
Madurai,Beach Visit,"68, Temple Road, Madurai",November to February,5644
Udaipur,Sightseeing,"92, Old Town, Udaipur",November to February,5445
Goa,Wildlife Safari,"40, Cultural District, Goa",November to February,5100
Imphal,Temple Visit,"26, Temple Road, Imphal",October to February,3219
Pune,Wildlife Safari,"62, Main Street, Pune",October to March,8420
Jaipur,Beach Visit,"106, Main Street, Jaipur",October to March,4647
Chandigarh,Museum Visit,"24, Cultural District, Chandigarh",October to March,2133
Agartala,Trekking,"148, Hill View Road, Agartala",November to March,4946
Lakshadweep,Sightseeing,"41, Beachside Promenade, Lakshadweep",November to April,5025
Imphal,Temple Visit,"49, Riverfront Area, Imphal",October to February,2650
Agra,Shopping,"124, Old Town, Agra",September to February,4962
Varanasi,Shopping,"20, Lake Side, Varanasi",September to February,2704
Manali,Museum Visit,"12, Temple Road, Manali",October to March,2057
Shimla,Wildlife Safari,"4, Riverfront Area, Shimla",October to March,5710
Manali,Temple Visit,"91, Heritage Lane, Manali",October to March,1874
Nagpur,Trekking,"101, Lake Side, Nagpur",November to February,8604
Kolkata,Wildlife Safari,"92, Garden Street, Kolkata",October to February,7753
Rishikesh,Wildlife Safari,"46, Market Road, Rishikesh",October to March,8460
Hyderabad,Historical Tour,"125, Garden Street, Hyderabad",November to February,5325
Udaipur,Historical Tour,"88, Temple Road, Udaipur",October to March,4706
Chandigarh,Sightseeing,"105, Beachside Promenade, Chandigarh",September to February,4000
Delhi,River Rafting,"122, Lake Side, Delhi",September to February,7478
Varanasi,Wildlife Safari,"38, Cultural District, Varanasi",September to February,9072
Rishikesh,Beach Visit,"77, Beachside Promenade, Rishikesh",September to February,2948
Lakshadweep,Wildlife Safari,"90, Old Town, Lakshadweep",November to April,8113
Jodhpur,Cultural Tour,"34, Lake Side, Jodhpur",November to February,6133
Kavaratti,Beach Visit,"64, Riverfront Area, Kavaratti",December to March,5779
Rishikesh,Historical Tour,"8, Cultural District, Rishikesh",October to March,4119
Rishikesh,Historical Tour,"47, Temple Road, Rishikesh",September to February,6794
Goa,Museum Visit,"41, Garden Street, Goa",November to February,1083
Mysore,Cultural Tour,"101, Heritage Lane, Mysore",December to March,6558
Rishikesh,Beach Visit,"5, Hill View Road, Rishikesh",September to February,5684
Surat,Temple Visit,"117, Central Plaza, Surat",October to March,1664
Thiruvananthapuram,Food Tasting,"4, Garden Street, Thiruvananthapuram",December to March,1653
Leh,River Rafting,"127, Heritage Lane, Leh",October to March,7870
Chandigarh,Food Tasting,"109, Cultural District, Chandigarh",October to March,2789
Agartala,Sightseeing,"36, Main Street, Agartala",November to March,3577
Hyderabad,Shopping,"119, Market Road, Hyderabad",November to February,5801
Manali,Historical Tour,"73, Hill View Road, Manali",September to February,4608
Goa,Trekking,"37, Market Road, Goa",November to February,7602
Manali,Adventure Sports,"64, Riverfront Area, Manali",September to February,13917
Chennai,Cultural Tour,"31, Heritage Lane, Chennai",December to March,6893
Kavaratti,Temple Visit,"93, Cultural District, Kavaratti",November to April,2366
Amritsar,Historical Tour,"68, Temple Road, Amritsar",September to February,3693
Pondicherry,Trekking,"5, Beachside Promenade, Pondicherry",November to February,5648
Patna,Food Tasting,"98, Market Road, Patna",November to March,2308
Pune,Historical Tour,"95, Temple Road, Pune",November to February,6220
Mysore,Cultural Tour,"25, Cultural District, Mysore",December to March,5995
Rishikesh,Beach Visit,"33, Garden Street, Rishikesh",September to February,5540
Daman,Food Tasting,"149, Cultural District, Daman",December to March,2143
Udaipur,Adventure Sports,"149, Old Town, Udaipur",November to February,12544
Nagpur,Museum Visit,"46, Market Road, Nagpur",November to February,2764
Nagpur,Beach Visit,"34, Heritage Lane, Nagpur",October to March,5865
Nagpur,Temple Visit,"3, Hill View Road, Nagpur",October to March,2892
Rishikesh,Temple Visit,"89, Lake Side, Rishikesh",October to March,2259
Pune,Temple Visit,"92, Temple Road, Pune",November to February,2042
Lakshadweep,Temple Visit,"55, Market Road, Lakshadweep",November to April,2267
Daman,Shopping,"136, Hill View Road, Daman",November to April,2753
Chennai,Sightseeing,"39, Heritage Lane, Chennai",November to February,5313
Leh,Museum Visit,"103, Cultural District, Leh",October to March,1591
Coimbatore,River Rafting,"51, Central Plaza, Coimbatore",November to February,6810
Udaipur,Sightseeing,"95, Heritage Lane, Udaipur",November to February,3396
Jodhpur,Beach Visit,"99, Cultural District, Jodhpur",October to March,5045
Madurai,Sightseeing,"3, Hill View Road, Madurai",November to February,5658
Darjeeling,River Rafting,"16, Riverfront Area, Darjeeling",November to March,11291
Udaipur,Sightseeing,"68, Market Road, Udaipur",November to February,6051
Surat,Shopping,"81, Hill View Road, Surat",October to March,3614
Indore,Adventure Sports,"8, Temple Road, Indore",November to February,8463
Daman,River Rafting,"129, Lake Side, Daman",December to March,9215
Coimbatore,Trekking,"2, Garden Street, Coimbatore",December to March,6234
Vijayawada,Museum Visit,"140, Temple Road, Vijayawada",December to March,2664
Daman,Museum Visit,"106, Hill View Road, Daman",December to March,1015
Udaipur,Trekking,"120, Riverfront Area, Udaipur",November to February,5435
Jodhpur,Historical Tour,"112, Market Road, Jodhpur",November to February,3158
Rishikesh,Beach Visit,"54, Heritage Lane, Rishikesh",October to March,3162
Port Blair,Temple Visit,"86, Hill View Road, Port Blair",November to April,1245
Leh,Cultural Tour,"146, Cultural District, Leh",September to February,7039
Nagpur,Adventure Sports,"79, Temple Road, Nagpur",November to February,12089
Imphal,Sightseeing,"122, Main Street, Imphal",October to February,5030
Leh,Cultural Tour,"115, Market Road, Leh",September to February,5167
Varanasi,Sightseeing,"94, Market Road, Varanasi",October to March,6168
Jaipur,Wildlife Safari,"50, Temple Road, Jaipur",October to March,9712
Thiruvananthapuram,Wildlife Safari,"53, Beachside Promenade, Thiruvananthapuram",December to March,8352
Madurai,Cultural Tour,"77, Cultural District, Madurai",November to February,4768
Shimla,Adventure Sports,"146, Temple Road, Shimla",September to February,12387
Hyderabad,Temple Visit,"148, Hill View Road, Hyderabad",December to March,2776
Madurai,River Rafting,"21, Hill View Road, Madurai",November to February,6100
Mysore,Temple Visit,"86, Heritage Lane, Mysore",December to March,1168
Surat,Shopping,"16, Cultural District, Surat",October to March,5424
Pondicherry,Wildlife Safari,"108, Garden Street, Pondicherry",November to February,6791
Indore,Temple Visit,"85, Heritage Lane, Indore",November to February,1901
Mumbai,Historical Tour,"128, Garden Street, Mumbai",October to March,3884
Madurai,Wildlife Safari,"48, Old Town, Madurai",November to February,5880
Goa,Trekking,"143, Temple Road, Goa",October to March,5774
Lakshadweep,Museum Visit,"135, Heritage Lane, Lakshadweep",December to March,2032
Surat,River Rafting,"41, Cultural District, Surat",October to March,7470
Chandigarh,Food Tasting,"15, Heritage Lane, Chandigarh",October to March,2334
Surat,Temple Visit,"35, Temple Road, Surat",October to March,3206
Jaipur,Trekking,"62, Old Town, Jaipur",September to February,6149
Coimbatore,River Rafting,"35, Main Street, Coimbatore",December to March,9514
Kavaratti,Historical Tour,"94, Market Road, Kavaratti",December to March,6445
Pune,River Rafting,"108, Temple Road, Pune",October to March,7098
Bengaluru,Temple Visit,"149, Riverfront Area, Bengaluru",December to March,3104
Coimbatore,Shopping,"149, Central Plaza, Coimbatore",December to March,3621
Amritsar,Wildlife Safari,"147, Temple Road, Amritsar",October to March,9878
Goa,Food Tasting,"130, Beachside Promenade, Goa",October to March,2157
Chandigarh,Beach Visit,"125, Cultural District, Chandigarh",October to March,4903
Chennai,Historical Tour,"82, Market Road, Chennai",November to February,7082
Pune,Wildlife Safari,"78, Hill View Road, Pune",October to March,8362
Bhubaneswar,Museum Visit,"16, Hill View Road, Bhubaneswar",November to March,1275
Hyderabad,Adventure Sports,"112, Market Road, Hyderabad",December to March,7049
Leh,Food Tasting,"27, Old Town, Leh",September to February,2544
Puri,Cultural Tour,"105, Beachside Promenade, Puri",October to February,6260
Mumbai,Cultural Tour,"99, Lake Side, Mumbai",November to February,7836
Puri,Beach Visit,"40, Old Town, Puri",November to March,3482
Agartala,Trekking,"24, Beachside Promenade, Agartala",October to February,4582
Jaipur,Wildlife Safari,"101, Market Road, Jaipur",September to February,8048
Ahmedabad,Adventure Sports,"32, Market Road, Ahmedabad",October to March,7428
Bengaluru,Sightseeing,"2, Cultural District, Bengaluru",December to March,6614
Goa,Temple Visit,"145, Old Town, Goa",November to February,2682
Madurai,Cultural Tour,"18, Cultural District, Madurai",November to February,4196
Coimbatore,Shopping,"87, Market Road, Coimbatore",December to March,3257
Chennai,Food Tasting,"141, Central Plaza, Chennai",December to March,3877
Coimbatore,Sightseeing,"70, Heritage Lane, Coimbatore",November to February,4881
Lakshadweep,Museum Visit,"17, Old Town, Lakshadweep",December to March,1356
Kavaratti,Shopping,"84, Central Plaza, Kavaratti",November to April,3853
Kochi,Beach Visit,"47, Main Street, Kochi",November to February,2860
Jodhpur,Museum Visit,"17, Riverfront Area, Jodhpur",October to March,2689
Shimla,Adventure Sports,"129, Temple Road, Shimla",October to March,9320
Udaipur,Beach Visit,"131, Riverfront Area, Udaipur",October to March,5514
Lakshadweep,River Rafting,"77, Riverfront Area, Lakshadweep",November to April,10542
Surat,Historical Tour,"85, Old Town, Surat",October to March,3254
Gangtok,Beach Visit,"36, Main Street, Gangtok",October to February,5831
Ranchi,Sightseeing,"39, Hill View Road, Ranchi",October to February,4472
Imphal,River Rafting,"62, Temple Road, Imphal",November to March,11712
Port Blair,Cultural Tour,"80, Garden Street, Port Blair",December to March,5939
Ranchi,Trekking,"2, Cultural District, Ranchi",October to February,4305
Darjeeling,Museum Visit,"16, Cultural District, Darjeeling",October to February,2623
Indore,Wildlife Safari,"10, Temple Road, Indore",November to February,6866
Udaipur,Wildlife Safari,"48, Beachside Promenade, Udaipur",November to February,9356
Coimbatore,Trekking,"82, Market Road, Coimbatore",November to February,4971
Indore,Wildlife Safari,"50, Hill View Road, Indore",October to March,6028
Mumbai,Museum Visit,"140, Cultural District, Mumbai",October to March,2241
Delhi,Wildlife Safari,"17, Hill View Road, Delhi",September to February,6442
Ahmedabad,Cultural Tour,"150, Beachside Promenade, Ahmedabad",October to March,6438
Goa,Shopping,"133, Beachside Promenade, Goa",November to February,4589
Chandigarh,Sightseeing,"121, Riverfront Area, Chandigarh",September to February,6336
Manali,Beach Visit,"136, Lake Side, Manali",October to March,5926
Puri,Historical Tour,"15, Main Street, Puri",October to February,7042
Lakshadweep,Wildlife Safari,"52, Hill View Road, Lakshadweep",November to April,9244
Madurai,Trekking,"94, Riverfront Area, Madurai",December to March,8419
Darjeeling,Wildlife Safari,"75, Lake Side, Darjeeling",November to March,6837
Agartala,Trekking,"150, Beachside Promenade, Agartala",October to February,6318
Ahmedabad,Temple Visit,"13, Beachside Promenade, Ahmedabad",November to February,2604
Leh,Food Tasting,"120, Main Street, Leh",October to March,1573
Kochi,Museum Visit,"29, Temple Road, Kochi",December to March,1071
Patna,Trekking,"82, Garden Street, Patna",October to February,8572
Pune,Temple Visit,"26, Market Road, Pune",November to February,2430
Hyderabad,Sightseeing,"51, Old Town, Hyderabad",December to March,4685
Daman,Temple Visit,"51, Old Town, Daman",November to April,1739
Port Blair,Museum Visit,"25, Garden Street, Port Blair",December to March,1405
Hyderabad,Adventure Sports,"114, Beachside Promenade, Hyderabad",December to March,13818
Puri,Sightseeing,"60, Main Street, Puri",November to March,6693
Pondicherry,Cultural Tour,"110, Main Street, Pondicherry",December to March,4847
Diu,Historical Tour,"139, Lake Side, Diu",December to March,4372
Vijayawada,Historical Tour,"92, Temple Road, Vijayawada",November to February,3478
Vijayawada,Sightseeing,"69, Temple Road, Vijayawada",December to March,6210
Lakshadweep,Trekking,"2, Main Street, Lakshadweep",December to March,4688
Kolkata,Shopping,"102, Riverfront Area, Kolkata",November to March,2573
Ranchi,Adventure Sports,"124, Garden Street, Ranchi",November to March,11744
Agra,Shopping,"22, Beachside Promenade, Agra",October to March,3835
Pune,Wildlife Safari,"13, Hill View Road, Pune",October to March,6661
Chandigarh,Food Tasting,"76, Heritage Lane, Chandigarh",September to February,3455
Leh,River Rafting,"54, Market Road, Leh",October to March,10278
Lakshadweep,Beach Visit,"51, Lake Side, Lakshadweep",December to March,5441
Lakshadweep,Beach Visit,"104, Main Street, Lakshadweep",December to March,4168
Agra,Temple Visit,"7, Beachside Promenade, Agra",October to March,1547
Delhi,Sightseeing,"36, Garden Street, Delhi",October to March,3080
Mysore,Beach Visit,"71, Riverfront Area, Mysore",December to March,5194
Ranchi,Sightseeing,"14, Garden Street, Ranchi",November to March,3777
Shillong,Beach Visit,"93, Old Town, Shillong",November to March,4325
Puri,Cultural Tour,"141, Riverfront Area, Puri",October to February,7417
Delhi,Museum Visit,"61, Garden Street, Delhi",October to March,2127
Manali,Shopping,"79, Beachside Promenade, Manali",September to February,2650
Diu,River Rafting,"133, Beachside Promenade, Diu",December to March,8151
Delhi,Beach Visit,"32, Garden Street, Delhi",September to February,5375
Puri,Shopping,"135, Hill View Road, Puri",November to March,3602
Indore,Temple Visit,"25, Old Town, Indore",November to February,2488
Bhubaneswar,Wildlife Safari,"99, Old Town, Bhubaneswar",October to February,7732
Bengaluru,Wildlife Safari,"134, Old Town, Bengaluru",November to February,8451
Daman,Food Tasting,"23, Central Plaza, Daman",December to March,2510
Puri,Shopping,"134, Old Town, Puri",October to February,2485
Kavaratti,River Rafting,"136, Market Road, Kavaratti",December to March,9530
Lakshadweep,Beach Visit,"60, Beachside Promenade, Lakshadweep",November to April,5541
Pondicherry,Beach Visit,"41, Central Plaza, Pondicherry",December to March,4531
Delhi,Temple Visit,"80, Garden Street, Delhi",September to February,3265
Udaipur,Historical Tour,"146, Main Street, Udaipur",October to March,3105
Bengaluru,Historical Tour,"141, Hill View Road, Bengaluru",December to March,7870
Agartala,Wildlife Safari,"100, Main Street, Agartala",October to February,5859
Daman,River Rafting,"109, Hill View Road, Daman",December to March,7770
Diu,River Rafting,"100, Hill View Road, Diu",November to April,11262
Daman,River Rafting,"142, Central Plaza, Daman",November to April,11458
Kavaratti,Beach Visit,"1, Temple Road, Kavaratti",December to March,5557
Kavaratti,Museum Visit,"147, Heritage Lane, Kavaratti",December to March,2116
Bhubaneswar,Shopping,"100, Hill View Road, Bhubaneswar",October to February,5211
Vadodara,Shopping,"32, Old Town, Vadodara",November to February,3899
Kolkata,Trekking,"28, Garden Street, Kolkata",October to February,8964
Daman,Food Tasting,"67, Old Town, Daman",December to March,1501
Leh,Museum Visit,"80, Lake Side, Leh",October to March,2681
Coimbatore,Trekking,"36, Temple Road, Coimbatore",November to February,5484
Goa,Food Tasting,"58, Market Road, Goa",November to February,3081
Amritsar,Wildlife Safari,"93, Riverfront Area, Amritsar",September to February,7874
Kolkata,Temple Visit,"90, Temple Road, Kolkata",October to February,1967
Amritsar,Wildlife Safari,"126, Garden Street, Amritsar",October to March,6715
Ahmedabad,Temple Visit,"132, Cultural District, Ahmedabad",October to March,1528
Bhubaneswar,Cultural Tour,"116, Garden Street, Bhubaneswar",November to March,6181
Puri,Trekking,"115, Hill View Road, Puri",October to February,8041
Agartala,Wildlife Safari,"51, Lake Side, Agartala",November to March,9531
Gangtok,Museum Visit,"146, Cultural District, Gangtok",November to March,1890
Chennai,Cultural Tour,"15, Cultural District, Chennai",December to March,7131
Pondicherry,Cultural Tour,"54, Central Plaza, Pondicherry",December to March,6159
Hyderabad,Food Tasting,"143, Riverfront Area, Hyderabad",November to February,2364
Ahmedabad,Wildlife Safari,"119, Beachside Promenade, Ahmedabad",November to February,8508
Hyderabad,Temple Visit,"41, Old Town, Hyderabad",December to March,1070
Pune,Museum Visit,"126, Garden Street, Pune",October to March,1502
Rishikesh,Historical Tour,"14, Garden Street, Rishikesh",September to February,5408
Puri,Beach Visit,"31, Main Street, Puri",November to March,4973
Mysore,Wildlife Safari,"77, Lake Side, Mysore",November to February,9189
Bengaluru,Sightseeing,"78, Market Road, Bengaluru",November to February,6107
Rishikesh,Museum Visit,"22, Riverfront Area, Rishikesh",October to March,1761
Diu,Sightseeing,"62, Cultural District, Diu",December to March,4076
Coimbatore,Adventure Sports,"24, Main Street, Coimbatore",November to February,7595
Darjeeling,Historical Tour,"105, Old Town, Darjeeling",November to March,5040
Kavaratti,Historical Tour,"21, Market Road, Kavaratti",December to March,3958
Rishikesh,Beach Visit,"14, Central Plaza, Rishikesh",September to February,2603
Kolkata,Museum Visit,"31, Beachside Promenade, Kolkata",November to March,1506
Thiruvananthapuram,Sightseeing,"104, Garden Street, Thiruvananthapuram",December to March,6383
Nagpur,Shopping,"108, Market Road, Nagpur",October to March,3390
Daman,Shopping,"26, Cultural District, Daman",November to April,4809
Kolkata,Cultural Tour,"1, Garden Street, Kolkata",November to March,5834
Coimbatore,Temple Visit,"106, Garden Street, Coimbatore",November to February,3059
Amritsar,Beach Visit,"38, Heritage Lane, Amritsar",September to February,5623
Vadodara,Sightseeing,"142, Cultural District, Vadodara",November to February,5699
Udaipur,Beach Visit,"145, Heritage Lane, Udaipur",November to February,2606
Gangtok,Wildlife Safari,"86, Garden Street, Gangtok",October to February,6810
Gangtok,Adventure Sports,"141, Garden Street, Gangtok",November to March,12331
Jaipur,Cultural Tour,"27, Main Street, Jaipur",September to February,4373
Kavaratti,Food Tasting,"131, Market Road, Kavaratti",December to March,2485
Bengaluru,Sightseeing,"21, Beachside Promenade, Bengaluru",November to February,6441
Rishikesh,Wildlife Safari,"149, Lake Side, Rishikesh",September to February,8023
Amritsar,Museum Visit,"16, Main Street, Amritsar",October to March,2419
Agra,Wildlife Safari,"53, Garden Street, Agra",October to March,6414
Agra,Adventure Sports,"110, Main Street, Agra",October to March,7596
Agra,Sightseeing,"24, Garden Street, Agra",October to March,3870
Madurai,Shopping,"138, Heritage Lane, Madurai",November to February,4613
Leh,Cultural Tour,"8, Main Street, Leh",September to February,4298
Pune,Wildlife Safari,"94, Lake Side, Pune",October to March,8130
Madurai,Wildlife Safari,"36, Hill View Road, Madurai",December to March,7582
Vadodara,Shopping,"94, Riverfront Area, Vadodara",November to February,2464
Ranchi,River Rafting,"117, Riverfront Area, Ranchi",November to March,11378
Goa,Wildlife Safari,"140, Riverfront Area, Goa",November to February,7857
Amritsar,River Rafting,"137, Main Street, Amritsar",October to March,11713
Darjeeling,Cultural Tour,"65, Hill View Road, Darjeeling",November to March,6699
Surat,Historical Tour,"48, Old Town, Surat",November to February,5924
Diu,Food Tasting,"80, Beachside Promenade, Diu",December to March,2869
Bengaluru,Cultural Tour,"30, Beachside Promenade, Bengaluru",November to February,6314
Amritsar,Food Tasting,"81, Main Street, Amritsar",October to March,1579
Vadodara,Adventure Sports,"122, Hill View Road, Vadodara",November to February,8995
Pondicherry,Shopping,"40, Central Plaza, Pondicherry",December to March,4790
Ahmedabad,Wildlife Safari,"75, Market Road, Ahmedabad",November to February,9851
Ahmedabad,Wildlife Safari,"38, Temple Road, Ahmedabad",November to February,7651
Agartala,Beach Visit,"81, Main Street, Agartala",November to March,3465
Daman,Sightseeing,"111, Hill View Road, Daman",November to April,4572
Nagpur,Cultural Tour,"99, Main Street, Nagpur",October to March,6486
Delhi,Trekking,"27, Beachside Promenade, Delhi",September to February,6034
Bengaluru,River Rafting,"42, Main Street, Bengaluru",November to February,9087
Kavaratti,Historical Tour,"140, Temple Road, Kavaratti",December to March,3102
Madurai,Historical Tour,"54, Hill View Road, Madurai",December to March,3804
Bengaluru,River Rafting,"139, Heritage Lane, Bengaluru",November to February,11530
Pondicherry,Temple Visit,"15, Lake Side, Pondicherry",December to March,3357
Pune,Museum Visit,"4, Cultural District, Pune",October to March,2803
Thiruvananthapuram,Sightseeing,"89, Cultural District, Thiruvananthapuram",November to February,4346
Coimbatore,Trekking,"109, Heritage Lane, Coimbatore",November to February,5218
Imphal,Cultural Tour,"142, Lake Side, Imphal",November to March,4734
Hyderabad,Adventure Sports,"18, Temple Road, Hyderabad",November to February,14489
Darjeeling,Adventure Sports,"132, Market Road, Darjeeling",November to March,8150
Kochi,Sightseeing,"104, Temple Road, Kochi",December to March,5213
Lakshadweep,Shopping,"11, Beachside Promenade, Lakshadweep",November to April,3577
Shimla,Sightseeing,"117, Cultural District, Shimla",September to February,5766
Jodhpur,Sightseeing,"79, Riverfront Area, Jodhpur",November to February,4330
Ranchi,Temple Visit,"126, Market Road, Ranchi",October to February,1458
Puri,Museum Visit,"30, Hill View Road, Puri",October to February,1221
Kolkata,Adventure Sports,"120, Temple Road, Kolkata",November to March,11160
Manali,Sightseeing,"112, Beachside Promenade, Manali",September to February,4271
Udaipur,Temple Visit,"71, Main Street, Udaipur",November to February,2755
Agartala,Cultural Tour,"19, Central Plaza, Agartala",October to February,5698
Mysore,Sightseeing,"27, Garden Street, Mysore",December to March,6173
Agartala,Historical Tour,"61, Cultural District, Agartala",November to March,7646
Patna,Museum Visit,"87, Heritage Lane, Patna",November to March,1821
Chandigarh,Cultural Tour,"147, Cultural District, Chandigarh",September to February,3573
Vadodara,Adventure Sports,"14, Main Street, Vadodara",November to February,10265
Jodhpur,Food Tasting,"39, Heritage Lane, Jodhpur",October to March,2906
Nagpur,Shopping,"149, Hill View Road, Nagpur",October to March,5752
Lakshadweep,Beach Visit,"148, Temple Road, Lakshadweep",December to March,4774
Puri,Shopping,"48, Temple Road, Puri",November to March,2572
Puri,River Rafting,"25, Lake Side, Puri",November to March,10766
Patna,Beach Visit,"104, Hill View Road, Patna",November to March,3480
Diu,Cultural Tour,"61, Beachside Promenade, Diu",November to April,6422
Gangtok,Temple Visit,"2, Lake Side, Gangtok",November to March,1907
Delhi,Adventure Sports,"53, Cultural District, Delhi",September to February,11640
Goa,Sightseeing,"82, Riverfront Area, Goa",October to March,6759
Jodhpur,River Rafting,"27, Beachside Promenade, Jodhpur",October to March,9619
Delhi,Food Tasting,"4, Temple Road, Delhi",September to February,2490
Madurai,River Rafting,"63, Central Plaza, Madurai",December to March,9682
Mysore,Adventure Sports,"74, Main Street, Mysore",November to February,14229
Agartala,Beach Visit,"138, Beachside Promenade, Agartala",November to March,5362
Manali,Museum Visit,"119, Hill View Road, Manali",October to March,2479
Amritsar,Food Tasting,"119, Hill View Road, Amritsar",September to February,2178
Mumbai,Shopping,"50, Central Plaza, Mumbai",November to February,3949
Mysore,Sightseeing,"23, Central Plaza, Mysore",November to February,5902
Nagpur,Sightseeing,"36, Garden Street, Nagpur",October to March,4808
Pondicherry,Cultural Tour,"13, Riverfront Area, Pondicherry",December to March,7293
Mumbai,Sightseeing,"55, Market Road, Mumbai",November to February,4386
Daman,River Rafting,"149, Beachside Promenade, Daman",November to April,7470
Goa,Cultural Tour,"41, Main Street, Goa",October to March,5524
Gangtok,Shopping,"60, Lake Side, Gangtok",October to February,3692
Varanasi,Temple Visit,"147, Old Town, Varanasi",October to March,3017
Imphal,Wildlife Safari,"63, Lake Side, Imphal",October to February,6296
Kavaratti,Beach Visit,"116, Old Town, Kavaratti",November to April,4318
Shimla,River Rafting,"79, Old Town, Shimla",September to February,10355
Pune,Trekking,"120, Temple Road, Pune",November to February,4387
Hyderabad,Museum Visit,"52, Heritage Lane, Hyderabad",November to February,1234
Nagpur,Adventure Sports,"79, Lake Side, Nagpur",November to February,10058
Chennai,Wildlife Safari,"108, Heritage Lane, Chennai",November to February,9892
Ranchi,Historical Tour,"134, Garden Street, Ranchi",October to February,6615
Pune,Wildlife Safari,"55, Central Plaza, Pune",October to March,6283
Ahmedabad,Sightseeing,"114, Cultural District, Ahmedabad",October to March,6996
Manali,Adventure Sports,"119, Old Town, Manali",October to March,10663
Port Blair,Temple Visit,"97, Garden Street, Port Blair",December to March,1375
Manali,Food Tasting,"47, Temple Road, Manali",September to February,2513
Nagpur,River Rafting,"66, Temple Road, Nagpur",October to March,7125
Daman,Trekking,"129, Main Street, Daman",November to April,6260
Darjeeling,Wildlife Safari,"141, Main Street, Darjeeling",October to February,6052
Vijayawada,Museum Visit,"130, Cultural District, Vijayawada",December to March,2715
Kochi,Museum Visit,"52, Main Street, Kochi",December to March,2283
Rishikesh,Wildlife Safari,"77, Old Town, Rishikesh",September to February,5992
Chandigarh,Temple Visit,"47, Heritage Lane, Chandigarh",October to March,1845
Nagpur,Food Tasting,"141, Garden Street, Nagpur",November to February,2930
Vadodara,Historical Tour,"96, Riverfront Area, Vadodara",October to March,5919
Goa,Sightseeing,"59, Heritage Lane, Goa",October to March,3523
Manali,Food Tasting,"40, Cultural District, Manali",October to March,1995
Mysore,Museum Visit,"148, Lake Side, Mysore",December to March,1620
Thiruvananthapuram,Trekking,"116, Beachside Promenade, Thiruvananthapuram",December to March,4617
Jodhpur,Temple Visit,"73, Central Plaza, Jodhpur",November to February,2175
Jodhpur,Cultural Tour,"33, Heritage Lane, Jodhpur",November to February,7428
Daman,Sightseeing,"61, Lake Side, Daman",December to March,4213
Chennai,River Rafting,"130, Central Plaza, Chennai",December to March,8486
Shimla,Trekking,"102, Hill View Road, Shimla",October to March,8866
Shimla,Shopping,"108, Cultural District, Shimla",October to March,4435
Delhi,Beach Visit,"116, Market Road, Delhi",September to February,2921
Indore,Shopping,"142, Riverfront Area, Indore",October to March,5000
Daman,Historical Tour,"87, Temple Road, Daman",November to April,3223
Hyderabad,Adventure Sports,"41, Main Street, Hyderabad",November to February,14130
Manali,Beach Visit,"122, Temple Road, Manali",October to March,4846
Darjeeling,Shopping,"69, Lake Side, Darjeeling",November to March,2435
Patna,Cultural Tour,"68, Riverfront Area, Patna",November to March,5486
Patna,Wildlife Safari,"80, Central Plaza, Patna",November to March,8545
Varanasi,Temple Visit,"107, Heritage Lane, Varanasi",September to February,1110
Jaipur,Adventure Sports,"63, Cultural District, Jaipur",October to March,10138
Manali,Trekking,"101, Heritage Lane, Manali",September to February,5035
